2021-08-23 18:37:12 INFO  AllScriptsTester:30 - Starting parsing. Source: all
2021-08-23 18:37:18 INFO  AllScriptsTester:44 - -------------------------------------------------
2021-08-23 18:37:18 INFO  AllScriptsTester:45 - Making graph for 11086 entities
2021-08-23 18:37:19 WARN  Entity:191 - parse error:stg_dds.tfct_adjust.80. 
2021-08-23 18:37:19 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.81. 
2021-08-23 18:37:20 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.81. 
2021-08-23 18:37:21 WARN  Entity:191 - parse error:stg_dds.dim_emp_sb.83. 
2021-08-23 18:37:22 WARN  Entity:191 - parse error:stg_dds.tfct_adjust.83. 
2021-08-23 18:37:22 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.83. 
2021-08-23 18:37:25 WARN  Entity:191 - parse error:stg_dds.tfct_debt.85. 
2021-08-23 18:37:25 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.86. 
2021-08-23 18:37:26 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.86. 
2021-08-23 18:37:26 WARN  Entity:191 - parse error:stg_dds.tfct_adjust.87. 
2021-08-23 18:37:26 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.88. 
2021-08-23 18:37:28 WARN  Entity:191 - parse error:stg_dds.tfct_debt.88. 
2021-08-23 18:37:29 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.89. 
2021-08-23 18:37:29 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.48. 
2021-08-23 18:37:30 WARN  Entity:191 - parse error:stg_dds.tfct_recpt.49. 
2021-08-23 18:37:30 WARN  Entity:191 - parse error:stg_dds.tfct_debt.50. 
2021-08-23 18:37:30 WARN  Entity:191 - parse error:stg_dds.tfct_recpt.50. 
2021-08-23 18:37:31 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.50. 
2021-08-23 18:37:31 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_adj.51. 
2021-08-23 18:37:31 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_bldt.51. 
2021-08-23 18:37:31 WARN  Entity:191 - parse error:stg_dds.tfct_pymt.51. 
2021-08-23 18:37:32 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_adj.52. 
2021-08-23 18:37:32 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.52. 
2021-08-23 18:37:32 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.53. 
2021-08-23 18:37:32 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_bldt.53. 
2021-08-23 18:37:32 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.53. 
2021-08-23 18:37:33 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_branch_v2.54. 
2021-08-23 18:37:33 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.54. 
2021-08-23 18:37:33 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_ch_corr_client.54. 
2021-08-23 18:37:33 WARN  Entity:191 - parse error:stg_dds.tfct_recpt.55. 
2021-08-23 18:37:34 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_bldt.56. 
2021-08-23 18:37:34 WARN  Entity:191 - parse error:stg_dds.tfct_pymt.56. 
2021-08-23 18:37:34 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.56. 
2021-08-23 18:37:34 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_bldt.57. 
2021-08-23 18:37:34 WARN  Entity:191 - parse error:stg_dds.tfct_debt.57. 
2021-08-23 18:37:34 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.57. 
2021-08-23 18:37:35 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.57. 
2021-08-23 18:37:35 WARN  Entity:191 - parse error:stg_dds.tfct_pymt.58. 
2021-08-23 18:37:35 WARN  Entity:191 - parse error:stg_dm_b2b.dim_eef_service.58. 
2021-08-23 18:37:35 WARN  Entity:191 - parse error:stg_dm_feb.tfct_edo_statistic_detail.59. 
2021-08-23 18:37:35 WARN  Entity:191 - parse error:stg_dds.tfct_chrg.59. 
2021-08-23 18:37:36 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.59. 
2021-08-23 18:37:36 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_branch_v2.60. 
2021-08-23 18:37:36 WARN  Entity:191 - parse error:stg_dds.dim_acc.60. 
2021-08-23 18:37:36 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.60. 
2021-08-23 18:37:37 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_serv_sales.60. 
2021-08-23 18:37:38 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.62. 
2021-08-23 18:37:38 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.1. 
2021-08-23 18:37:38 WARN  Entity:191 - parse error:stg_dds.dim_acc.1. 
2021-08-23 18:37:39 WARN  Entity:191 - parse error:stg_dm_feb.tfct_charge_address_dq.1. 
2021-08-23 18:37:39 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.2. 
2021-08-23 18:37:39 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_region_v2.3. 
2021-08-23 18:37:40 WARN  Entity:191 - parse error:stg_dds.tfct_chrg_bldt.3. 
2021-08-23 18:37:40 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.3. 
2021-08-23 18:37:40 WARN  Entity:191 - parse error:stg_dm_b2b.tfct_abon_base.3. 
2021-08-23 18:37:40 WARN  Entity:191 - parse error:mdm_put.put_xref_dim_branch_v2.4. 
2021-08-23 18:37:41 WARN  Entity:191 - parse error:stg_dmcm.tfct_shpd_day.4. 
2021-08-23 18:37:41 WARN  Entity:191 - parse error:stg_dm_b2b.dim_clnt_dly.4. 
